taxon_id, parent_id, page_id
20634113, 0, 164
20634114, 20634113, 344
20634115, 20634114, 648
20634116, 20634115, 699
20634117, 20634116, 51111
20634404, 20634117, 476677
20634405, 20634117, 398375
20634406, 20634117, 492085
20634407, 20634117, 593505
20634408, 20634117, 404080
20634409, 20634117, 452394
37999096, 20634117, 20438930
41024992, 20634117, 492084
20634118, 20634116, 50336
20634410, 20634118, 452396
20634411, 20634118, 452392
20634412, 20634118, 405334
20634413, 20634118, 403133
20634414, 20634118, 455663
20634415, 20634118, 396044
20634416, 20634118, 452164
20634417, 20634118, 2927859
20634419, 20634118, 463497
20634420, 20634118, 455649
20634421, 20634118, 455651
20634423, 20634118, 2927865
20634425, 20634118, 455652
20634426, 20634118, 2927868
20634428, 20634118, 2927870
20634429, 20634118, 2927871
37999097, 20634118, 20438931
20634119, 20634116, 61041
37999098, 20634119, 483268
37999099, 20634119, 620306
37999100, 20634119, 491825
37999101, 20634119, 491827
20634120, 20634116, 59724
20634430, 20634120, 2927872
20634431, 20634120, 2927873
20634432, 20634120, 491909
20634433, 20634120, 2927875
20634434, 20634120, 2927876
20634435, 20634120, 2927877
20634436, 20634120, 491910
20634437, 20634120, 2927879
20634438, 20634120, 491911
20634439, 20634120, 491900
20634440, 20634120, 2927882
20634441, 20634120, 474336
20634442, 20634120, 2927884
20634443, 20634120, 2927885
20634444, 20634120, 2927886
20634445, 20634120, 474334
20634446, 20634120, 2927888
20634447, 20634120, 474278
20634448, 20634120, 474280
20634449, 20634120, 474277
20634450, 20634120, 471761
20634451, 20634120, 2927893
41024993, 20634120, 23461311
20634121, 20634116, 32565
20634452, 20634121, 454105
20634453, 20634121, 2927895
20634455, 20634121, 508717
20634456, 20634121, 454108
20634457, 20634121, 1274340
20634460, 20634121, 453230
20634461, 20634121, 1262620
20634462, 20634121, 1274436
20634463, 20634121, 453231
20634464, 20634121, 453232
20634465, 20634121, 453220
20634466, 20634121, 2927908
20634468, 20634121, 453222
20634469, 20634121, 453224
20634470, 20634121, 503071
20634471, 20634121, 453221
20634472, 20634121, 1262619
